LABELS

SEPARATOR COMMA

DATA

GCF_002288925.2,Delphinapterus leucas
GCF_005190385.1,Monodon monoceros
GCF_963924675.1,Phocoena phocoena
GCF_008692025.1,Phocoena sinus
GCF_003031525.2,Neophocaena asiaeorientalis asiaeorientalis
GCF_003676395.1,Sagmatias obliquidens
GCF_011762595.1,Tursiops truncatus
GCF_937001465.1,Orcinus orca
GCF_039906515.1,Pseudorca crassidens
GCF_963455315.2,Globicephala melas
GCF_949987515.2,Delphinus delphis
GCF_949774975.1,Lagenorhynchus albirostris
GCF_000442215.2,Lipotes vexillifer
GCF_025265405.1,Mesoplodon densirostris
GCF_002837175.3,Physeter macrocephalus
GCF_026419965.1,Kogia breviceps
GCF_021613505.1,Equus quagga
GCF_020826845.1,Diceros bicornis minor
GCF_000283155.1,Ceratotherium simum simum
GCF_950295315.1,Erinaceus europaeus
GCF_000956105.1,Propithecus coquereli
GCF_016881025.1,Ictidomys tridecemlineatus
GCF_900094665.2,Mus caroli
GCF_000296735.1,Chrysochloris asiatica
GCF_004028035.1,Eumetopias jubatus
GCF_003265705.1,Callorhinus ursinus
GCF_009762305.2,Zalophus californianus
GCF_000321225.1,Odobenus rosmarus divergens
GCF_004348235.1,Phoca vitulina
GCF_012393455.1,Halichoerus grypus
GCF_002201575.2,Neomonachus schauinslandi
GCF_000349705.1,Leptonychotes weddellii
GCF_011800145.1,Mirounga leonina
GCF_029215605.1,Mirounga angustirostris
GCF_002007445.2,Ailuropoda melanoleuca
GCF_020975775.1,Ursus americanus
GCF_017311325.1,Ursus maritimus
GCF_023065955.2,Ursus arctos
GCF_922984935.1,Meles meles
GCF_020171115.1,Neogale vison
GCF_009829155.1,Mustela erminea
GCF_011764305.1,Mustela putorius furo
GCF_030435805.1,Mustela lutreola
GCF_022355385.1,Mustela nigripes
GCF_010015895.1,Lontra canadensis
GCF_002288905.1,Enhydra lutris kenyoni
GCF_902655055.1,Lutra lutra
GCF_905146905.1,Nyctereutes procyonoides
GCF_003160815.1,Vulpes vulpes
GCF_018345385.1,Vulpes lagopus
GCF_011100685.1,Canis lupus familiaris
GCF_003254725.2,Canis lupus dingo
GCF_003009895.1,Hyaena hyaena
GCF_006229205.1,Suricata suricatta
GCF_018350175.1,Felis catus
GCF_014898765.1,Puma yagouaroundi
GCF_027475565.1,Acinonyx jubatus
GCF_016509475.1,Prionailurus bengalensis
GCF_003327715.1,Puma concolor
GCF_018350195.1,Panthera tigris
GCF_028533385.1,Panthera onca
